IdCliente,Nome,Telefone,CPF,Endereço
1,Breno Silva,(011) 7207-2113,254.710.693-07,"Feira Eloah Silva, 727
Atila De Paiva
20098872 Souza / PA"
2,Ana Luiza Farias,+55 21 0329 3100,672.083.145-35,"Viaduto Viana, 6
Santo Agostinho
45004111 Teixeira / TO"
3,Yasmin Martins,+55 (041) 6180 8581,895.723.640-65,"Vereda Viana
Esplanada
33233-892 Cavalcanti / PA"
4,Srta. Juliana Ramos,0300 249 2824,206.874.315-90,"Rodovia Farias, 44
Cardoso
20052530 da Rosa / RJ"
5,Pietra Nascimento,21 2676 1639,261.435.087-71,"Parque de Viana, 105
Caiçaras
87055721 da Paz da Serra / RR"
6,Luiz Miguel Teixeira,61 6136 7588,031.259.487-97,"Esplanada de Gonçalves, 12
João Paulo Ii
94980-754 Melo do Sul / AL"
7,Marina da Conceição,+55 (031) 3822 1937,836.209.741-87,"Feira Ana Barros, 703
Grajaú
27047448 Mendes de Jesus / SP"
8,Giovanna Gomes,+55 41 1954 7570,037.486.192-78,"Favela Maria Sophia Gomes, 56
Maria Goretti
41022-488 Barros / MG"
9,Luiz Gustavo Caldeira,31 2702 2597,358.694.201-05,"Ladeira de da Rocha, 80
Tiradentes
36457-518 Cavalcanti do Oeste / CE"
10,Elisa Moura,(021) 4671 2633,437.890.612-04,"Morro Isadora Peixoto, 224
Novo Tupi
83842-936 Silveira Paulista / DF"
11,Yago Gomes,(051) 5934 7575,095.873.246-92,"Conjunto Teixeira
Colégio Batista
06189989 Lima do Galho / PE"
12,Bruno Nogueira,+55 (041) 7956-9019,108.537.496-39,"Conjunto de Costela, 67
Colégio Batista
45716-064 Barros / PA"
13,Dra. Ana Beatriz Melo,(084) 5004 2884,764.891.032-22,"Aeroporto Leonardo Barbosa, 88
Conjunto Taquaril
52550418 Nascimento / MG"
14,Dr. Samuel Carvalho,41 4227-6045,781.964.052-94,"Aeroporto Isadora Lima, 461
Cardoso
29289380 Cunha / MA"
15,João Guilherme Viana,+55 (084) 8718 2632,895.360.271-86,"Alameda Francisco Cavalcanti
Leonina
94593418 da Rosa / SP"
16,Nicole Oliveira,+55 (041) 6668 1410,189.027.456-94,"Via Danilo Novaes
Atila De Paiva
60405640 Caldeira / RO"
17,Ana Luiza da Luz,+55 61 4419 1499,439.106.527-43,"Via de Cavalcanti, 2
Vila Independencia 1ª Seção
63839175 Santos da Prata / PI"
18,Murilo Azevedo,+55 (011) 1836 2167,189.736.524-19,"Estação de Oliveira, 8
Leticia
41495-093 Pereira / SP"
19,Dra. Marcela Rezende,(031) 4725 6031,721.843.065-17,"Lago Caio Vieira, 461
Conjunto Serra Verde
13923421 Gomes / SE"
20,Bernardo Nunes,71 5434 3373,823.916.407-22,"Travessa João Pedro Novaes, 14
Cinquentenário
03862-135 da Cruz / MG"
21,Maysa Nunes,84 5268 5383,548.127.306-35,"Viela de Caldeira, 48
Distrito Industrial Do Jatoba
08418-640 Barbosa / SP"
22,Paulo Almeida,+55 (021) 2545 8419,724.198.530-32,"Largo Luna Nascimento, 999
Marieta 3ª Seção
08705-213 Lima / AC"
23,Nina Novaes,0900-983-6839,453.017.682-71,"Favela Raul Pires, 649
Pedreira Padro Lopes
55161-523 Oliveira / AL"
24,Eduarda Teixeira,(071) 2470 4913,971.534.280-97,"Lago Gonçalves, 22
Tiradentes
16574-036 Rodrigues dos Dourados / AM"
25,Marcos Vinicius Santos,+55 (031) 3331-9072,378.620.945-65,"Residencial Novaes, 2
Beira Linha
07942105 Duarte Alegre / RR"
26,Sra. Isabelly Silveira,+55 (031) 5885 8025,974.623.805-10,"Viela Silva, 37
Itapoa
06649931 Teixeira das Pedras / MT"
