index,IdFuncionario,Nome,Telefone,CPF,Endereço,IdFunção,IdRelacionamento
14,15,Thales da Rocha,0500 772 3577,189.034.765-57,"Quadra Correia, 34
Vila Nova Cachoeirinha 1ª Seção
66635-729 da Luz / PB",2,2
17,18,Emanuel Teixeira,0900 498 3456,168.754.032-26,"Viela Pires, 4
Nossa Senhora Da Conceição
99121106 Teixeira / RS",2,2
11,12,Helena Barbosa,(031) 7224 3983,608.123.947-04,"Distrito Emilly Fogaça
Mariquinhas
34215911 Gomes do Oeste / RN",1,1
8,9,Rafaela da Mota,+55 (031) 5154 0484,789.432.610-04,"Parque Dias
Antonio Ribeiro De Abreu 1ª Seção
70121-202 Pires do Sul / AL",1,1
20,21,Srta. Lívia Almeida,+55 (011) 1143 9289,640.725.381-08,"Lago João Guilherme Rocha
Diamante
95231-218 Aragão de Caldeira / CE",1,2
2,3,Sr. Kaique Rodrigues,(051) 2123-0300,467.805.321-26,"Praça Luiz Gustavo Dias, 42
Estrela Do Oriente
97655108 Jesus Grande / SC",1,2
7,8,Rodrigo da Paz,11 6879 0590,072.583.194-41,"Viela Vieira, 981
Boa Viagem
46994-742 da Paz do Campo / RR",2,2
24,25,Thales Ferreira,+55 71 8668 3588,153.870.629-68,"Rodovia Calebe das Neves, 45
Vila Nova Cachoeirinha 1ª Seção
26135944 Cavalcanti / BA",1,2
10,11,Sr. Vinicius Azevedo,+55 71 8248-1411,246.931.058-05,"Lagoa Viana, 85
Vila Trinta E Um De Março
56708586 Moreira / PR",1,2
21,22,Maria Fernanda Dias,+55 (081) 9694-3637,182.304.796-31,"Pátio Caio Pires, 96
Dom Joaquim
01425319 Rezende / RJ",1,1
6,7,Luiz Fernando Barros,0300-032-0651,475.893.026-00,"Vale de Aragão, 1
Vila Oeste
10023436 Moraes de da Rocha / ES",1,2
16,17,Kamilly Peixoto,0500-191-5526,753.809.214-50,"Lago Ana Julia da Cruz
Serra
78795-833 Nogueira / PB",1,2
1,2,Sr. Yago Araújo,(031) 6010 0079,067.914.283-50,"Morro Moraes, 9
Sion
10481952 Oliveira / SC",2,2
28,29,Pietro Gonçalves,41 6482-3526,463.729.051-16,"Ladeira Teixeira
Itatiaia
51832-716 Ribeiro / SC",1,2
18,19,Pedro Henrique Pinto,+55 (084) 6175-2383,495.731.806-93,"Trecho Guilherme da Mota, 464
Serra Do Curral
21258-548 Monteiro / RR",3,2
22,23,Bryan Barros,+55 84 6653-2214,847.123.569-28,"Viaduto Anthony Rezende, 3
Vila Mangueiras
06688-540 Peixoto / CE",2,2
23,24,Dr. Enrico Dias,84 8542-5370,890.673.241-40,"Alameda de Moura
Vila São Gabriel
64416067 da Luz / MS",2,2
29,30,Sra. Caroline Monteiro,+55 21 4314-5140,638.512.097-02,"Setor Teixeira, 45
Maria Helena
66495804 da Paz do Oeste / AC",1,2
19,20,Ana Luiza Teixeira,+55 61 3099-2454,852.416.073-07,"Estação Cardoso, 386
Dom Cabral
54411999 Moura / TO",2,2
5,6,Olivia da Mata,(081) 9167 5166,326.951.780-77,"Chácara da Cruz, 4
Vila Aeroporto Jaraguá
83227262 Novaes do Norte / PR",2,2
9,10,João Gabriel Gonçalves,+55 84 4990-0910,048.579.321-05,"Passarela João Miguel da Cunha, 62
Vila Nossa Senhora Do Rosário
17278969 Barros de Oliveira / DF",3,2
0,1,Dra. Alana da Luz,+55 (081) 6183-3272,438.152.607-44,"Estação Moura, 1
Novo Tupi
49241050 Rezende de Martins / SE",1,2
3,4,Isabel Moreira,+55 (021) 7873 5743,712.680.594-20,"Travessa Moura, 266
São Jorge 3ª Seção
18203-832 Caldeira / CE",2,2
25,26,Sr. Luiz Henrique Lima,(061) 8866-4023,017.546.932-61,"Viela Vitor Gabriel Moraes, 354
Ventosa
50958371 Novaes / RN",1,2
26,27,Cecília Cunha,+55 (084) 7450 3159,089.271.653-30,"Feira Cardoso, 724
Cônego Pinheiro 1ª Seção
22163-462 Castro do Amparo / RJ",2,2
12,13,Gabriel Cardoso,+55 84 8183-7807,134.207.859-41,"Campo Barros, 22
Alto Dos Pinheiros
43317-671 Gonçalves / PI",1,2
4,5,Renan Lopes,84 6982 2782,835.609.472-00,"Jardim de Nascimento, 16
Santo André
95720937 Moraes de Santos / PB",1,2
0,1,Dr. Luiz Miguel Souza,(081) 4559-1354,745.981.026-67,"Estrada Felipe Lima, 36
Dona Clara
14877-521 Silveira de Goiás / ES",1,2
1,2,Olivia Viana,+55 (061) 5688-1940,198.403.762-50,"Vila de da Rocha, 7
Santa Cruz
13941-512 Cunha / BA",1,2
2,3,Dr. Arthur Azevedo,81 2601-9003,397.650.841-10,"Vereda de Ferreira, 579
Vila Nova Cachoeirinha 1ª Seção
02250126 Porto / PI",1,1
3,4,Srta. Sarah Rocha,51 7835 0441,679.143.025-70,"Ladeira de Lima, 49
Conjunto Califórnia Ii
81914-306 da Mota / MT",3,2
4,5,Sophie Cunha,(031) 9772 4216,162.850.734-90,"Rodovia de Rezende, 23
Belvedere
38477399 Cunha / RJ",1,2
